---------------------------------------------------------------------------------------------------------------------------------------------------------------|
       Sucursal.|            SKU|        Familia|  Prec. con IVA|  Stock en Uni.|    Bulto Prov.|            UxB|            IVA|         EAN-13|         DUM-14|
              1|          74673|             10|     88.1472900|            455|      10.000000|             48|         21.000|  7798182435415|               |
              1|          74674|             10|     88.1472900|            315|       7.000000|             48|         21.000|  7798182435422|               |
              1|          74675|             10|     70.6022900|           1659|       2.000000|            910|         21.000|  7798182435439|               |
              1|          74677|             10|    983.2017900|            -13|       0.000000|             24|         21.000|  7798182436092|               |
              1|          74678|             10|    923.7302900|            -13|       0.000000|             24|         21.000|  7798182436108|               |
              1|          74679|             10|   1510.2777900|            -13|       0.000000|             24|         21.000|  7798182436115|               |
              1|          74680|             10|    672.7157900|             17|       1.000000|             48|         21.000|  7798182436122|               |
              1|          74713|             10|    118.9296900|            584|      17.000000|             36|         21.000|  7791822689193|              0|
              1|          74714|             10|    194.5721900|            -10|       0.000000|             24|         21.000|  7791822674403| 17791822674400|
              1|          74722|             10|    194.5721900|            -13|       0.000000|             24|         21.000|  7791822674410| 17791822674417|
              1|          74723|             10|    194.5721900|            -12|       0.000000|             24|         21.000|  7791822674427| 17791822674424|
              1|          74724|             10|    194.5721900|             -8|       0.000000|             24|         21.000|  7791822674434| 17791822674431|
              1|          74725|             10|    167.3592900|             35|       2.000000|             24|         21.000|  7798182437938|               |
              1|          74726|             10|    167.3592900|            864|      18.000000|             48|         21.000|  7798182437945|               |
              1|          74727|             10|    167.3592900|           1587|      33.000000|             48|         21.000|  7798182437952|               |
              1|          74728|             10|    167.3592900|            203|       5.000000|             48|         21.000|  7798182437969|               |
              1|          74729|             10|    167.3592900|             77|       2.000000|             48|         21.000|  7798182437976|               |
              1|          74730|             10|    167.3592900|             88|       2.000000|             48|         21.000|  7798182437983|               |
              1|          74731|             10|    167.3592900|           1054|      22.000000|             48|         21.000|  7798182438034|               |
              1|          74732|             10|    167.3592900|           1287|      27.000000|             48|         21.000|  7798182438041|               |
              1|          74733|             10|    167.3592900|           1089|      46.000000|             24|         21.000|  7798182437990|               |
              1|          74734|             10|    167.3592900|             12|       1.000000|             48|         21.000|  7798182438003|               |
              1|          74735|             10|    167.3592900|             16|       1.000000|             48|         21.000|  7798182438010|               |
              1|          78712|             10|    304.6458900|             -8|       1.000000|              6|         21.000|  7791822675455|               |
              1|          81282|             10|    448.9867900|            -13|       0.000000|             12|         21.000|  7798182435255|               |
              1|          81283|             10|    401.7967900|            -11|       0.000000|             24|         21.000|  7798182435262|               |
              1|          81284|             10|    345.4107900|            -13|       0.000000|             24|         21.000|  7798182435279|               |
              1|          81342|             10|    229.3789290|            968|       4.000000|            270|         21.000|  7798182438287|               |
              1|          81343|             10|    244.1193910|            394|       2.000000|            210|         21.000|  7798182438294|               |
              1|          81344|             10|    273.6421810|            -13|       0.000000|            180|         21.000|  7798182438300|               |
              1|          81345|             10|    303.4675920|             28|       0.000000|            120|         21.000|  7798182438317|               |
              1|          81346|             10|    598.5623920|            -13|       0.000000|             60|         21.000|  7798182438324|               |
              1|          81347|             10|   1187.1612050|            -10|       0.000000|             36|         21.000|  7798182438331|               |
              1|          85452|             10|    405.8744900|             -8|       1.000000|              6|         21.000|  7891240000263| 17891240000260|
              1|          85453|             10|    405.8744900|             -5|       1.000000|              6|         21.000|  7891240000300| 17891240000307|
              1|          85594|             10|     26.9225000|            -13|       0.000000|            832|         21.000|  7791822394882|               |
              1|          85596|             10|     45.7367900|            -13|       0.000000|             36|         21.000|  7791822400262|               |
              1|          85597|             10|     45.7367900|            -13|       0.000000|            784|         21.000|  7791822400286|               |
              1|          85605|             10|     47.2008900|            -13|       0.000000|              1|         21.000|  7791822395513|               |
              1|          85755|             10|    135.4394900|             46|       2.000000|             36|         21.000|  7791822688219| 17791822688216|
              1|          86031|             10|     12.0987900|            -13|       0.000000|             36|         21.000|  7798118416006|               |
              1|          86035|             10|     15.3065000|            -11|       0.000000|             36|         21.000|  7798118415009|               |
              1|          86036|             10|     15.3065000|            -13|       0.000000|             36|         21.000|  7798118415016|               |
              1|          86039|             10|     15.1492000|            -13|       0.000000|             48|         21.000|  7798118410776|               |
              1|          86041|             10|     16.4197000|            -13|       0.000000|             36|         21.000|  7798118410196|               |
              1|          86043|             10|     14.3143000|            -13|       0.000000|             48|         21.000|  7798118410257|               |
              1|          86048|             10|    146.7408900|             13|       2.000000|             12|         21.000|  7891240036712| 17891240036719|
              1|          86049|             10|    146.7408900|              9|       2.000000|             12|         21.000|  7891240036729| 17891240036726|
              1|          86050|             10|     54.4487900|            -13|       0.000000|             24|         21.000|  7891240030345| 17891240030342|
              1|          86052|             10|     21.6711000|            -13|       0.000000|             24|         21.000|  7891240030376| 17891240030373|
              1|          92631|             10|     86.5742900|            -13|       0.000000|              8|         21.000|     6545435454|              0|
              1|          94672|             10|     85.3642900|            -13|       0.000000|              6|         21.000|          94672|              0|
              1|          94673|             10|     86.5742900|            -13|       0.000000|             48|         21.000|          94673|              0|
              1|          94674|             10|     86.5742900|            -13|       0.000000|             48|         21.000|          94674|              0|
              1|          94675|             10|     86.5742900|            -13|       0.000000|            910|         21.000|          94675|              0|
              1|           1500|             10|     51.4842900|            -13|       0.000000|              6|         21.000|  7795252000375|               |
              1|           1501|             10|    191.9343900|             60|      12.000000|              6|         21.000|  7795252000214|               |
              1|           1503|             10|     59.1072900|             39|       9.000000|              6|         21.000|  7795252000054|               |
              1|           1504|             10|    112.8312900|             36|       8.000000|              6|         21.000|  7795252000269|               |
              1|           4913|             10|     95.1531900|             10|       2.000000|             12|         21.000|  7790345121005|              0|
              1|           4915|             10|    259.6459900|            -16|      -1.000000|              6|         21.000|  7790345107009|               |
              1|           4916|             10|    205.6073900|             31|       4.000000|             12|         21.000|  7790345108006| 17790345108003|
              1|           4917|             10|     72.5987900|            -13|       0.000000|             12|         21.000|  7790345109409|               |
              1|           4921|             10|    213.3271900|             57|       6.000000|             12|         21.000|  7795252009330|               |
              1|           4925|             10|    316.1045900|             50|       5.000000|             12|         21.000|  7790345110108| 37790345110109|
              1|           4926|             10|    219.5344900|             -7|       1.000000|              6|         21.000|  7790345145001| 17790345145008|
              1|           4927|             10|    115.4085900|            -13|       0.000000|              6|         21.000|  7790345109904| 17790345109901|
              1|           4930|             10|     71.0512000|              4|       1.000000|             24|         21.000|  7790339001399|               |
              1|           4931|             10|    253.4157000|            -10|       1.000000|              6|         21.000|  7790339001108| 27790339001102|
              1|           4939|             10|    111.9842900|             -9|       0.000000|             12|         21.000|  7790345147005| 17790345146005|
              1|           5419|             10|     58.8047900|            -13|       0.000000|             12|         21.000|  7792459013115| 17792459013112|
              1|           5420|             10|    212.7584900|             23|       3.000000|             12|         21.000|  7792459000115| 17792459000112|
              1|           5470|             10|     36.2987900|            -13|       0.000000|             12|         21.000|  7795252009514|               |
              1|           5472|             10|               |            -13|       0.000000|              6|         21.000|  7795252009507|              0|
              1|           5474|             10|     75.6358900|            -13|       0.000000|             12|         21.000|  7790345111006|               |
              1|           5475|             10|     96.2300900|            -13|       0.000000|             12|         21.000|  7790345109003|               |
              1|           5476|             10|    263.6389900|              0|       1.000000|             12|         21.000|  7795252009699|               |
              1|           5484|             10|    154.7873900|             60|       4.000000|             18|         21.000|  7795252009798|               |
              1|           5485|             10|     85.7393900|            -13|       0.000000|             12|         21.000|  7795252001426|              0|
              1|           5486|             10|    249.4940900|             24|       3.000000|             12|         21.000|  7795252009897|               |
              1|           5487|             10|    229.9525900|             17|       3.000000|             12|         21.000|  7795252000030|               |
              1|           5488|             10|    315.3664900|             -8|       0.000000|             12|         21.000|  7795252001433|              0|
              1|           5489|             10|    181.8187900|             19|       3.000000|             12|         21.000|  7795252000139|               |
              1|           5517|             10|    349.1617900|              4|       3.000000|              6|         21.000|  7795252000078|               |
              1|           5518|             10|    211.0886900|             -4|       2.000000|              6|         21.000|  7795252000016|               |
              1|           5520|             10|    197.0163900|             -3|       1.000000|             12|         21.000|  7795252000245|               |
              1|           5521|             10|     69.4890900|            -13|       0.000000|             12|         21.000|  7795252000153|               |
              1|           5527|             10|    102.8379000|            -12|       1.000000|              1|         21.000|  7795252009293|               |
              1|           5528|             10|    263.6389900|            -13|       0.000000|             12|         21.000|  7795252000443|               |
              1|           6232|             10|     72.9496900|            -13|       0.000000|              6|         21.000|  7795252009347|               |
              1|           6510|             10|     58.8410900|            -13|       0.000000|              6|         21.000|  7795252000108|               |
              1|           6511|             10|     83.3677900|            107|      20.000000|              6|         21.000|  7795252000023|               |
              1|           6513|             10|    117.0178900|            -10|       1.000000|              6|         21.000|  7795252000313|               |
              1|           6515|             10|    104.5911900|              5|       3.000000|              6|         21.000|  7795252000122|               |
              1|           6521|             10|    178.9994900|            232|      20.000000|             12|         21.000|  7790345176005|               |
              1|           6526|             10|     41.2476900|            -13|       0.000000|              6|         21.000|  7795252009583|               |
              1|           6527|             10|    171.4248900|             30|       7.000000|              6|         21.000|  7795252009569|               |
              1|           6529|             10|    212.4196900|            220|      19.000000|             12|         21.000|  7790345001758|               |
              1|           6865|             10|     86.2596900|            -13|       0.000000|             12|         21.000|  7795252009996|               |
              1|           7001|             10|    102.9697900|             65|       7.000000|             12|         21.000|  7790345130007|              0|
              1|           7015|             10|     35.0887900|            -13|       0.000000|              6|         21.000|  7795252009811|               |
